,Name,Host,Habitat,Habitat2,Habitat3,Location,Continent,Substrate,Parentmaterial,Host_Phylum,Host_Class,Host_Order,Host_Family,Host_Genus,Host_Species,Annual_Mean_Temperature,Annual_Precipitation,Altitude
Scytolyngbya_sp.,Scytolyngbya sp.,Scytolyngbya_sp.,freshwater stream,fresh_water,tropical,"Hawaii,
USA",Pacific Islands,fresh water,,Cyanobacteria,unclassified,Leptolynbyales,Leptolyngbyaceae,Scytolyngbya,Scytolyngbya sp.,22,2335,610
Scytonema_hyalinum,Scytonema hyalinum,Scytonema_hyalinum,desert soil,desert_soil,desert,"California,
USA",North America,soil,gneiss,Cyanobacteria,unclassified,Nostocales,Scytonemataceae,Scytonema,Scytonema hyalinum,20.1,128,619
Scytonematopsis_contorta,Scytonematopsis contorta,Scytonematopsis_contorta,tropical vernal pool,vernal_pool,tropical,"Hawaii,
USA",Pacific Islands,hydroterrestrial,,Cyanobacteria,unclassified,Nostocales,unclassified,Scytonematopsis,Scytonematopsis contorta,22.1,2985,339
Spirirestis_raphaelensis,Spirirestis raphaelensis,Spirirestis_raphaelensis,desert soil,desert_soil,desert,"California,
USA",North America,soil,granitic,Cyanobacteria,unclassified,Nostocales,Tolypothrichaceae,Spirirestis,Spirirestis raphaelensis,21.2,119,500
Stenomitos_rutilans,Stenomitos rutilans,Stenomitos_rutilans,cave rock wall,rock_wall,tropical,"Hawaii,
USA",Pacific Islands,subaerial,,Cyanobacteria,unclassified,Leptolynbyales,Leptolyngbyaceae,Stenomitos,Stenomitos rutilans,23.1,3045,106
Symplocastrum_torsivum,Symplocastrum torsivum,Symplocastrum_torsivum,grassland soil,temperate_soil,temperate,"Colorado,
USA",North America,soil,,Cyanobacteria,unclassified,Coleofasciculales,Coleofasciculaceae,Symplocastrum,Symplocastrum torsivum,8.4,365,1622
Tildeniella_nuda,Tildeniella nuda,Tildeniella_nuda,temperate wet wall,wet_wall,temperate,"Zurich,
Switzerland",Europe,subaerial,,Cyanobacteria,unclassified,Oculatellales,unclassified,Tildeniella,Tildeniella nuda,9.1,1102,451
Tildeniella_torsiva,Tildeniella torsiva,Tildeniella_torsiva,temperate wet wall,wet_wall,temperate,"Kosice,
Slovakia",Europe,subaerial,limestone,Cyanobacteria,unclassified,Oculatellales,unclassified,Tildeniella,Tildeniella torsiva,5.2,779,565
Timaviella_obliquedivisa,Timaviella obliquedivisa,Timaviella_obliquedivisa,desert wet wall,wet_wall,desert,"Utah,
USA",North America,subaerial,,Cyanobacteria,unclassified,Oculatellales,Oculatellaceae.,Timaviella,Timaviella obliquedivisa,9.9,229,1757
Timaviella_radians,Timaviella radians,Timaviella_radians,desert wet wall,wet_wall,desert,"Utah,
USA",North America,subaerial,,Cyanobacteria,unclassified,Oculatellales,Oculatellaceae,Timaviella,Timaviella radians,NA,NA,NA
Tolypothrix_brevis,Tolypothrix brevis,Tolypothrix_brevis,desert wet wall,wet_wall,desert,"Utah,
USA",North America,subaerial,,Cyanobacteria,unclassified,Nostocales,Tolypothrichaceae,Tolypothrix,Tolypothrix brevis,10.2,220,1684
Tolypothrix_carrinoi,Tolypothrix carrinoi,Tolypothrix_carrinoi,cave rock wall,wet_wall,tropical,"Hawaii,
USA",Pacific Islands,subaerial,,Cyanobacteria,unclassified,Nostocales,Tolypothrichaceae,Tolypothrix,Tolypothrix carrinoi,23.6,1291,21
Trichormus_sp.,Trichormus sp.,Trichormus_sp.,desert soil,desert_soil,desert,"Tarapaca,
Chile",South America,soil,,Cyanobacteria,unclassified,Nostocales,Aphanizomenonaceae,"""Trichormus""",unclassified,16.6,3,1167
Trichotorquatus_andrei,Trichotorquatus andrei,Trichotorquatus_andrei,desert soil,desert_soil,desert,"California, USA",North America,soil,,Cyanobacteria,unclassified,Oculatellales,Oculatellaceae,Trichotorquatus,Trichortorquatus andrei,19.8,138,700
